id,company,city,tools,position,description,content
148,PT Dipo Star Finance,Jakarta Pusat,Tidak ada tools spesifik,Business & Product,"Uraian Pekerjaan (Job Description) Mengidentifikasi permasalahan, hambatan, atau inefisiensi dalam sistem kerja yang ada melalui koordinasi aktif dengan user Mempelajari dan mengevaluasi peluang pemanfaatan teknologi baru (seperti automation, chatbot, RPA, AI/ML, atau tools digital lainnya) untuk mendukung efektivitas proses kerja. Menyusun dan mengusulkan rancangan perbaikan proses kerja berbasis teknologi dan digitalisasi untuk dipresentasikan. Berkolaborasi dengan Unit Kerja lainnya dalam tahap implementasi solusi. Mendokumentasikan setiap perubahan proses secara sistematis dalam bentuk flowchart, SOP, dan/atau dokumen kebutuhan sistem (BRD/FSD). Melakukan evaluasi terhadap hasil implementasi perbaikan untuk memastikan tercapainya efisiensi dan produktivitas yang diharapkan. 🎓 Kualifikasi Pendidikan minimum S1 di bidang Ekonomi, Sistem Informasi, atau Teknologi Informasi. Mampu memahami dan menganalisis sistem kerja operasional dan sistem informasi yang digunakan perusahaan. Terbiasa menyusun dan memvisualisasikan alur proses bisnis dalam bentuk flowchart , diagram, atau dokumen spesifikasi. Mampu mempelajari teknologi baru secara mandiri dan menerapkannya dalam konteks perbaikan proses kerja . Memiliki kemampuan komunikasi yang baik (lisan maupun tulisan), termasuk kemampuan presentasi dan penulisan dokumen formal dalam Bahasa Indonesia maupun Bahasa Inggris. Mampu bekerja secara kolaboratif lintas fungsi Bersedia untuk ditempatkan di kantor pusat - Jakarta .","it business analyst (business process improvement) - jakarta jakarta pusat tidak ada tools spesifik economics, information systems, information technology business & product uraian pekerjaan (job description) mengidentifikasi permasalahan, hambatan, atau inefisiensi dalam sistem kerja yang ada melalui koordinasi aktif dengan user mempelajari dan mengevaluasi peluang pemanfaatan teknologi baru (seperti automation, chatbot, rpa, ai/ml, atau tools digital lainnya) untuk mendukung efektivitas proses kerja. menyusun dan mengusulkan rancangan perbaikan proses kerja berbasis teknologi dan digitalisasi untuk dipresentasikan. berkolaborasi dengan unit kerja lainnya dalam tahap implementasi solusi. mendokumentasikan setiap perubahan proses secara sistematis dalam bentuk flowchart, sop, dan/atau dokumen kebutuhan sistem (brd/fsd). melakukan evaluasi terhadap hasil implementasi perbaikan untuk memastikan tercapainya efisiensi dan produktivitas yang diharapkan. 🎓 kualifikasi pendidikan minimum s1 di bidang ekonomi, sistem informasi, atau teknologi informasi. mampu memahami dan menganalisis sistem kerja operasional dan sistem informasi yang digunakan perusahaan. terbiasa menyusun dan memvisualisasikan alur proses bisnis dalam bentuk flowchart , diagram, atau dokumen spesifikasi. mampu mempelajari teknologi baru secara mandiri dan menerapkannya dalam konteks perbaikan proses kerja . memiliki kemampuan komunikasi yang baik (lisan maupun tulisan), termasuk kemampuan presentasi dan penulisan dokumen formal dalam bahasa indonesia maupun bahasa inggris. mampu bekerja secara kolaboratif lintas fungsi bersedia untuk ditempatkan di kantor pusat - jakarta ."
149,PT Supra Boga Lestari Tbk,Jakarta Selatan,"Power BI, Tableau, Excel, SQL",Business & Product,"Business Analyst – IT Department (Retail Sector) Position Summary We are seeking a skilled Business Analyst to bridge the gap between business needs and technology solutions. The ideal candidate will work closely with stakeholders across departments to analyze processes, gather requirements, and support the development and optimization of systems including SAP, POS, and in-house applications. Key Responsibilities Requirements Gathering : Collaborate with business units to understand their needs and translate them into functional specifications. Process Analysis & Improvement : Analyze current business processes and identify areas for improvement or automation. System Integration : Work with IT teams to ensure seamless integration between SAP, POS, and other internal systems. Documentation : Create clear and comprehensive documentation including business requirements, process flows, use cases, and user stories. Stakeholder Communication : Act as a liaison between business users and technical teams, ensuring alignment and understanding. Testing & Validation : Support UAT (User Acceptance Testing), validate solutions against requirements, and ensure quality delivery. Change Management : Assist in managing change initiatives, including training and support for end-users. Data Analysis : Use data to support decision-making and provide insights into business performance. Required Qualifications Bachelor’s degree in Information Systems or Accounting or related field. 2 years of experience as a Business Analyst, preferably in retail or consumer goods. Experience working with in-house/custom applications and understanding of software development lifecycle (SDLC). Excellent analytical, problem-solving, and communication skills. Ability to work independently and manage multiple priorities. Understanding of SAP modules (e.g., MM, SD, FICO) and POS systems . Proficiency in tools like JIRA, Confluence, Visio , and Excel . Preferred Qualifications Experience with Agile/Scrum methodologies . Familiarity with data visualization tools (e.g., Power BI, Tableau). Knowledge of retail operations , inventory management, and customer engagement systems. Basic understanding of SQL or other query languages. Soft Skills Strong interpersonal skills and stakeholder management. Detail-oriented with a focus on delivering high-quality work. Adaptability and willingness to learn new systems and processes.","business analyst jakarta selatan power bi, tableau, excel, sql accounting, information systems business & product business analyst – it department (retail sector) position summary we are seeking a skilled business analyst to bridge the gap between business needs and technology solutions. the ideal candidate will work closely with stakeholders across departments to analyze processes, gather requirements, and support the development and optimization of systems including sap, pos, and in-house applications. key responsibilities requirements gathering : collaborate with business units to understand their needs and translate them into functional specifications. process analysis & improvement : analyze current business processes and identify areas for improvement or automation. system integration : work with it teams to ensure seamless integration between sap, pos, and other internal systems. documentation : create clear and comprehensive documentation including business requirements, process flows, use cases, and user stories. stakeholder communication : act as a liaison between business users and technical teams, ensuring alignment and understanding. testing & validation : support uat (user acceptance testing), validate solutions against requirements, and ensure quality delivery. change management : assist in managing change initiatives, including training and support for end-users. data analysis : use data to support decision-making and provide insights into business performance. required qualifications bachelor’s degree in information systems or accounting or related field. 2 years of experience as a business analyst, preferably in retail or consumer goods. experience working with in-house/custom applications and understanding of software development lifecycle (sdlc). excellent analytical, problem-solving, and communication skills. ability to work independently and manage multiple priorities. understanding of sap modules (e.g., mm, sd, fico) and pos systems . proficiency in tools like jira, confluence, visio , and excel . preferred qualifications experience with agile/scrum methodologies . familiarity with data visualization tools (e.g., power bi, tableau). knowledge of retail operations , inventory management, and customer engagement systems. basic understanding of sql or other query languages. soft skills strong interpersonal skills and stakeholder management. detail-oriented with a focus on delivering high-quality work. adaptability and willingness to learn new systems and processes."
150,PT Lippo General Insurance Tbk,Tangerang,Tidak ada tools spesifik,Data & Technology,"Responsibilities: Analyze and assess claim submissions with accuracy and attention to detail Approve claim submissions and payment requests in line with company standards Ensure the claim submission and follow-up process runs smoothly, with proper coordination across all relevant parties Provide input or solutions for health insurance claim consultations and special conditions Act as a medical advisor in the overall health claim handling process Requirements: Minimum education: Bachelor’s degree in Medicine , with a strong interest in healthcare administration Familiarity with medical analysis and diagnosis techniques A team player with strong communication and collaboration skills Detail-oriented with strong analytical and problem-solving abilities Good communication skills, with the ability to communicate in English (written and spoken)","dokter (senior claim analyst) tangerang tidak ada tools spesifik medicine data & technology responsibilities: analyze and assess claim submissions with accuracy and attention to detail approve claim submissions and payment requests in line with company standards ensure the claim submission and follow-up process runs smoothly, with proper coordination across all relevant parties provide input or solutions for health insurance claim consultations and special conditions act as a medical advisor in the overall health claim handling process requirements: minimum education: bachelor’s degree in medicine , with a strong interest in healthcare administration familiarity with medical analysis and diagnosis techniques a team player with strong communication and collaboration skills detail-oriented with strong analytical and problem-solving abilities good communication skills, with the ability to communicate in english (written and spoken)"
151,PT Matahari Department Store Tbk,Tangerang,"Power BI, Tableau, Excel, SQL",Finance & Risk,"Job Description: Financial Modeling: - Develop and maintain financial models to support forecasting, budgeting, and decision-making processes. - Perform scenario analysis to assess the impact of different variables on financial outcomes. Reporting and Visualization: - Prepare and present financial reports, dashboards, and visualizations to communicate key insights to stakeholders. - Utilize tools such as Excel, Tableau, Power BI or other data visualization platforms. Budgeting and Forecasting: - Assist in the budgeting and forecasting processes by providing data-driven insights and recommendations. - Collaborate with cross-functional teams to align financial goals with overall business objectives. Data Collection and Cleaning: - Gather financial data from various sources, including internal databases, external sources, and financial statements. - Clean, validate, and organize data to ensure accuracy and reliability. Data Analysis: - Conduct quantitative analysis on financial data to identify trends, patterns, and anomalies. - Use statistical methods and financial models to analyze and interpret data. Collaboration: - Work closely with finance teams, business analysts, and other stakeholders to understand business requirements and -provide analytical support. Qualifications: Bachelor's degree in Finance & Accounting or a related field. Experience from Public Accounting Firm would be an advantage 5+ years exposure handled financial analysis Strong analytical and problem-solving skills with the ability to analyze complex financial data. Proficient in using financial modeling tools, databases, and data visualization software (e.g., Excel, SQL, Tableau). In-depth understanding of financial principles, accounting practices Excellent verbal and written communication skills to effectively convey complex financial information to non-technical stakeholders. High attention to detail and accuracy in working with financial data. Ability to collaborate with cross-functional teams and work in a dynamic, fast-paced environment. Familiarity with the Retail industry is more beneficial. Willing to be located in Lippo Karawaci If you’re match with the qualifications & ready for the challenges, turn yourself in !!!","financial analyst tangerang power bi, tableau, excel, sql accounting, finance finance & risk job description: financial modeling: - develop and maintain financial models to support forecasting, budgeting, and decision-making processes. - perform scenario analysis to assess the impact of different variables on financial outcomes. reporting and visualization: - prepare and present financial reports, dashboards, and visualizations to communicate key insights to stakeholders. - utilize tools such as excel, tableau, power bi or other data visualization platforms. budgeting and forecasting: - assist in the budgeting and forecasting processes by providing data-driven insights and recommendations. - collaborate with cross-functional teams to align financial goals with overall business objectives. data collection and cleaning: - gather financial data from various sources, including internal databases, external sources, and financial statements. - clean, validate, and organize data to ensure accuracy and reliability. data analysis: - conduct quantitative analysis on financial data to identify trends, patterns, and anomalies. - use statistical methods and financial models to analyze and interpret data. collaboration: - work closely with finance teams, business analysts, and other stakeholders to understand business requirements and -provide analytical support. qualifications: bachelor's degree in finance & accounting or a related field. experience from public accounting firm would be an advantage 5+ years exposure handled financial analysis strong analytical and problem-solving skills with the ability to analyze complex financial data. proficient in using financial modeling tools, databases, and data visualization software (e.g., excel, sql, tableau). in-depth understanding of financial principles, accounting practices excellent verbal and written communication skills to effectively convey complex financial information to non-technical stakeholders. high attention to detail and accuracy in working with financial data. ability to collaborate with cross-functional teams and work in a dynamic, fast-paced environment. familiarity with the retail industry is more beneficial. willing to be located in lippo karawaci if you’re match with the qualifications & ready for the challenges, turn yourself in !!!"
152,Pancaran Group,Jakarta Utara,"Oracle, Excel",Other,"Requirement: Bachelor's degree in Statistic, Mathematic, Accounting, Finance, or a related field. Have at least 2 year of work experience in Procurement analyst, pricing, or Cost Analysis Strong analytical skills and attention to detail. Advanced Excel skills (Pivot Tables, VLOOKUP, Power Query, etc). Familiarity with ERP systems (SAP, Oracle, etc.) is a plus. Strong leadership skills with the ability to manage a team effectively. Excellent analytical, problem-solving, and decision-making skills. Willing be placed in Tanah Merdeka, Cilincing, North Jakarta Job Desc : Monitor, analyze, and evaluate purchase price trends across key materials or commodities. Conduct price variance analysis (actual vs standard vs forecast). Work closely with Procurement and Finance teams to ensure price accuracy in the ERP system. Support sourcing and supplier negotiation by providing cost structure analysis and benchmarking. Develop and maintain price tracking dashboards and reports. Coordinate with suppliers to validate and update price lists and cost components. Participate in cost reduction and continuous improvement projects. Provide pricing insights to support budgeting, forecasting, and financial planning.","purchase price analyst jakarta utara oracle, excel accounting, finance, mathematics other requirement: bachelor's degree in statistic, mathematic, accounting, finance, or a related field. have at least 2 year of work experience in procurement analyst, pricing, or cost analysis strong analytical skills and attention to detail. advanced excel skills (pivot tables, vlookup, power query, etc). familiarity with erp systems (sap, oracle, etc.) is a plus. strong leadership skills with the ability to manage a team effectively. excellent analytical, problem-solving, and decision-making skills. willing be placed in tanah merdeka, cilincing, north jakarta job desc : monitor, analyze, and evaluate purchase price trends across key materials or commodities. conduct price variance analysis (actual vs standard vs forecast). work closely with procurement and finance teams to ensure price accuracy in the erp system. support sourcing and supplier negotiation by providing cost structure analysis and benchmarking. develop and maintain price tracking dashboards and reports. coordinate with suppliers to validate and update price lists and cost components. participate in cost reduction and continuous improvement projects. provide pricing insights to support budgeting, forecasting, and financial planning."
153,PT Jiva Agriculture Indonesia,Makassar,Tidak ada tools spesifik,Operations & Supply Chain,Field Operations    - 14   Open roles 14   Open roles Field Operation    - 2   Open roles 2   Open roles Category Agriinput    - 3   Open roles 3   Open roles Agronomy    - 6   Open roles 6   Open roles Chili Commodity    - 7   Open roles 7   Open roles PDG    - 2   Open roles 2   Open roles Finance & Accounting    - 2   Open roles 2   Open roles Data    - 2   Open roles 2   Open roles Warehouse Input    - 1   Open role 1   Open role Human Resource    - 2   Open roles 2   Open roles Operations    - 4   Open roles 4   Open roles Sales Commodity    - 4   Open roles 4   Open roles Growth and Marketing    - 1   Open role 1   Open role Finance    - 1   Open role 1   Open role Data Analyst    - 2   Open roles 2   Open roles Legal    - 1   Open role 1   Open role Corn Plantation    - 7   Open roles 7   Open roles Fulfillment and Logistic    - 2   Open roles 2   Open roles Sales Agriinput    - 13   Open roles 13   Open roles Telesales    - 1   Open role 1   Open role,junior procurement analyst (makassar placement) makassar tidak ada tools spesifik jurusan lainnya operations & supply chain field operations - 14 open roles 14 open roles field operation - 2 open roles 2 open roles category agriinput - 3 open roles 3 open roles agronomy - 6 open roles 6 open roles chili commodity - 7 open roles 7 open roles pdg - 2 open roles 2 open roles finance & accounting - 2 open roles 2 open roles data - 2 open roles 2 open roles warehouse input - 1 open role 1 open role human resource - 2 open roles 2 open roles operations - 4 open roles 4 open roles sales commodity - 4 open roles 4 open roles growth and marketing - 1 open role 1 open role finance - 1 open role 1 open role data analyst - 2 open roles 2 open roles legal - 1 open role 1 open role corn plantation - 7 open roles 7 open roles fulfillment and logistic - 2 open roles 2 open roles sales agriinput - 13 open roles 13 open roles telesales - 1 open role 1 open role
154,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang,Tidak ada tools spesifik,Data & Technology,"Job Description Melakukan fungsi compliance prior to approval car product (struktur pembiayaan dan dokumen) dan melakukan analisa kelayakan Melakukan verifikasi by phone/ cross checking atas hasil survey marketing Memberikan training mengenai kemampuan analisa 1P+5C serta awareness mengenai resiko yang terjadi terhadap cabang bagi marketing cabang. Memberikan analisa kredit terhadap hasil analisa kelayakan dan memberikan persetujuan atas transaksi  guna melaksanakan penilaian kredit Melakukan update harga kendaraan fast moving cabang untuk produk mobil dan mengeluarkan price list mobil per triwulan, Melakukan monitoring dan laporan portfolio cabang Melakukan monitoring terhadap FID Prediction Melakukan update mengenai local knowledge dan local industry yang berguna bagi analisa kelayakan konsumen serta dapat dijadikan sebagai masukan dalam penyusunan strategi dalam menjaga portfolio cabang khususnya pada segmen industri otomotive Melakukan kontrol terhadap risk rank cabang, memberikan mitigasi, plan kerja serta perbaikan cabang guna meminimalisir terjadinya freeze cabang. Requirements Memiliki SIM A/ dan C Pendidikan minimal S1 Semua Jurusan (Matematika/Statistika lebih disukai) IPK minimal 2,75 Bersedia untuk penempatan di Area Tangerang Training & Professional Development Transportation Allowances Gadget Support Performance Bonus Maternity & Paternity Leave","management trainee credit analyst area tangerang tangerang tidak ada tools spesifik mathematics, statistics data & technology job description melakukan fungsi compliance prior to approval car product (struktur pembiayaan dan dokumen) dan melakukan analisa kelayakan melakukan verifikasi by phone/ cross checking atas hasil survey marketing memberikan training mengenai kemampuan analisa 1p+5c serta awareness mengenai resiko yang terjadi terhadap cabang bagi marketing cabang. memberikan analisa kredit terhadap hasil analisa kelayakan dan memberikan persetujuan atas transaksi guna melaksanakan penilaian kredit melakukan update harga kendaraan fast moving cabang untuk produk mobil dan mengeluarkan price list mobil per triwulan, melakukan monitoring dan laporan portfolio cabang melakukan monitoring terhadap fid prediction melakukan update mengenai local knowledge dan local industry yang berguna bagi analisa kelayakan konsumen serta dapat dijadikan sebagai masukan dalam penyusunan strategi dalam menjaga portfolio cabang khususnya pada segmen industri otomotive melakukan kontrol terhadap risk rank cabang, memberikan mitigasi, plan kerja serta perbaikan cabang guna meminimalisir terjadinya freeze cabang. requirements memiliki sim a/ dan c pendidikan minimal s1 semua jurusan (matematika/statistika lebih disukai) ipk minimal 2,75 bersedia untuk penempatan di area tangerang training & professional development transportation allowances gadget support performance bonus maternity & paternity leave"
155,PT Central Mega Kencana,Jakarta Selatan,"Tableau, Google Analytics",Marketing & Sales,"Job Description We are seeking a highly motivated Digital Marketing Analyst to join our team. This role is responsible for managing digital tracking tools, gathering and analyzing data, and delivering insights that support strategic marketing decisions. You will play a key part in measuring digital performance and helping the team optimize campaigns effectively. Key Responsibilities: Set up and manage digital trackers across all digital assets in the proper way. Gather, analyze, and interpret data from multiple sources (monthly, quarterly, yearly). Deliver and communicate actionable insights to internal stakeholders. Monitor and report performance using tools such as Google Analytics, Google Search Console, and social media analytics tools . Build dashboards and reports to visualize data and trends. Provide recommendations to improve ROI, engagement, and campaign effectiveness. Requirements: Experience in a digital analytics or research role . Strong knowledge of analytics tools (Google Analytics, Google Search Console, social media tools). Proficiency in data analytics and dashboarding tools (Tableau, Google Analytics, etc.). Strong analytical, problem-solving, and strategic thinking skills. Excellent written and verbal communication skills. Ability to work effectively in a team environment. Job Qualifications: Bachelor’s degree in any major (open to all fields). Minimum 2 years of experience in the same position. Experience in dashboard building, data analysis, and reporting. Fluent in English. Strategic thinking, analytical thinking, effective communication, and teamwork. Willing to work fully from office. Opportunities for professional development and career advancement.","digital marketing analyst jakarta selatan tableau, google analytics jurusan lainnya marketing & sales job description we are seeking a highly motivated digital marketing analyst to join our team. this role is responsible for managing digital tracking tools, gathering and analyzing data, and delivering insights that support strategic marketing decisions. you will play a key part in measuring digital performance and helping the team optimize campaigns effectively. key responsibilities: set up and manage digital trackers across all digital assets in the proper way. gather, analyze, and interpret data from multiple sources (monthly, quarterly, yearly). deliver and communicate actionable insights to internal stakeholders. monitor and report performance using tools such as google analytics, google search console, and social media analytics tools . build dashboards and reports to visualize data and trends. provide recommendations to improve roi, engagement, and campaign effectiveness. requirements: experience in a digital analytics or research role . strong knowledge of analytics tools (google analytics, google search console, social media tools). proficiency in data analytics and dashboarding tools (tableau, google analytics, etc.). strong analytical, problem-solving, and strategic thinking skills. excellent written and verbal communication skills. ability to work effectively in a team environment. job qualifications: bachelor’s degree in any major (open to all fields). minimum 2 years of experience in the same position. experience in dashboard building, data analysis, and reporting. fluent in english. strategic thinking, analytical thinking, effective communication, and teamwork. willing to work fully from office. opportunities for professional development and career advancement."
156,Kurnia Ciptamoda Gemilang,Jakarta Selatan,Excel,Other,"This position is responsible for supporting analytical activities including managing overall data, support key functions in the areas of identifying trends, patterns, issues and outcomes of our business processes. Requirements : Bachelor Degree, Fashion Business / Fashion Merchandising Strong experience in related field Interest in Fashion Industry Good in English (both oral & written) Data Driven, Good in numbers and computer skills (especially Microsoft Excel) Positive mindset, ability to work in long hour within team and individually, effective communication and high standards of accuracy and result-oriented Good analyze through in details on daily basis Proven ability to lead and motivate a team","merchandising analyst manager jakarta selatan excel jurusan lainnya other this position is responsible for supporting analytical activities including managing overall data, support key functions in the areas of identifying trends, patterns, issues and outcomes of our business processes. requirements : bachelor degree, fashion business / fashion merchandising strong experience in related field interest in fashion industry good in english (both oral & written) data driven, good in numbers and computer skills (especially microsoft excel) positive mindset, ability to work in long hour within team and individually, effective communication and high standards of accuracy and result-oriented good analyze through in details on daily basis proven ability to lead and motivate a team"
157,PT Plaza Auto Prima,Jakarta Selatan,"Power BI, Excel",Marketing & Sales,"Job descriptions : Execute and monitor tactical sales programs from APM. •    Prepare sales funnel and conversion analysis reports. •    Supervise and support sales events (GIIAS, JAW, IIMS). •    Conduct regular visits and evaluations of Plaza Toyota showrooms. •    Develop market analysis and sales program proposals for showrooms. •    Supervise and analyze automotive marketing intelligence within sales areas. Job qualifications : •   Strong proficiency in Microsoft Office (Word, Excel, PowerPoint); skills in data visualization using Power BI are a plus. •    Excellent business communication skills. •    Strong planning, organizational, and time management abilities (from project initiation to program implementation). •    Customer-oriented mindset. •    Minimum 3 years of experience in the automotive industry (preferred).","sales marketing analyst jakarta selatan power bi, excel jurusan lainnya marketing & sales job descriptions : execute and monitor tactical sales programs from apm. • prepare sales funnel and conversion analysis reports. • supervise and support sales events (giias, jaw, iims). • conduct regular visits and evaluations of plaza toyota showrooms. • develop market analysis and sales program proposals for showrooms. • supervise and analyze automotive marketing intelligence within sales areas. job qualifications : • strong proficiency in microsoft office (word, excel, powerpoint); skills in data visualization using power bi are a plus. • excellent business communication skills. • strong planning, organizational, and time management abilities (from project initiation to program implementation). • customer-oriented mindset. • minimum 3 years of experience in the automotive industry (preferred)."
158,PT TemanCEO Indonesia,Jakarta Barat,"SQL, Excel",Data & Technology,"We have supported many companies to grow through digital transformation. Our integrated business software have helped companies to run their business process more efficiently, while our digital marketing team have increased the growth of their brands and most importantly, their revenue. And now, we wanted to focus on doing it on a bigger scale. Helping many more companies to grow faster. Therefore, we are currently looking for a highly motivated, result oriented, persistent and passionate professional to join our team to fill the below position : System Analyst Job Descriptions : Act as a bridge between clients and the internal web development team to gather, analyze, and understand business needs, ensuring effective communication and project alignment. Create detailed specifications and documentation based on client requirements to guide system development and enhancements. Evaluate existing business processes, identify inefficiencies, and recommend optimized solutions to improve productivity and system performance. Assist in the development, testing, and deployment of new systems or enhancements, ensuring they meet client business needs. Provide training and support to clients to ensure the successful adoption of new systems and processes. Act as the main point of contact (PIC) for clients to address software-related issues, coordinate with the development team, and ensure timely resolutions. Requirements : Bachelor’s degree in Computer Science, Information Systems, Software Engineering, or a related field. Min. 2 years of experience in system analysis, business analysis, or software development. Detail oriented Understanding to create a blueprint system. Good communication (verbal and written) skills. Fluent with Microsoft Office (excel, word and powerpoint). Have skill with SQL is a plus. Ability to manage relationships with client and understand their needs Experience in implementing or upgrading business systems.","system analyst jakarta barat sql, excel computer science, engineering, information systems data & technology we have supported many companies to grow through digital transformation. our integrated business software have helped companies to run their business process more efficiently, while our digital marketing team have increased the growth of their brands and most importantly, their revenue. and now, we wanted to focus on doing it on a bigger scale. helping many more companies to grow faster. therefore, we are currently looking for a highly motivated, result oriented, persistent and passionate professional to join our team to fill the below position : system analyst job descriptions : act as a bridge between clients and the internal web development team to gather, analyze, and understand business needs, ensuring effective communication and project alignment. create detailed specifications and documentation based on client requirements to guide system development and enhancements. evaluate existing business processes, identify inefficiencies, and recommend optimized solutions to improve productivity and system performance. assist in the development, testing, and deployment of new systems or enhancements, ensuring they meet client business needs. provide training and support to clients to ensure the successful adoption of new systems and processes. act as the main point of contact (pic) for clients to address software-related issues, coordinate with the development team, and ensure timely resolutions. requirements : bachelor’s degree in computer science, information systems, software engineering, or a related field. min. 2 years of experience in system analysis, business analysis, or software development. detail oriented understanding to create a blueprint system. good communication (verbal and written) skills. fluent with microsoft office (excel, word and powerpoint). have skill with sql is a plus. ability to manage relationships with client and understand their needs experience in implementing or upgrading business systems."
159,"PT. Metrodata Electronics, Tbk",Jakarta Barat,"SQL, SQL Server",Data & Technology,"We are looking for an experienced System Analyst to join our team. If you have excellent programming skills and a passion for developing applications or improving existing ones, we would like to meet you. As a System Analyst, you’ll work closely with our engineers to ensure system consistency and improve user experience. System Analyst roles and responsibilities include: Perform design an upgrades of information system to meet the business and client needs. Provide documentation of all processes as needed. Implement best practices for supportability Coordinate and communicate effectively with the internal developer team. PT Metrodata Electronics, Tbk (Digital Solution Provider & Technology Innovator) would like to invite you to be part of the company to develop yourself and your skills. If you are: Bachelor's Degree Computer Science/Information Technology At least 2 year of working experience as System Analyst Have deep knowledge in the field of project development life cycle (Agile or Iterative) Have experience in analyzing and designing business processes using data flow diagrams and UML Have experience in making FSD, Use Case, ERD, ERPNext Have deep knowledge in RDBMS but not limited to SQL Server. This position will be located in Jakarta. If you meet the requirement we needed, let’s apply for the following open positions. Metrodata not just offer for the job, we offer you for brighter career future.","system analyst jakarta barat sql, sql server computer science, information systems, information technology data & technology we are looking for an experienced system analyst to join our team. if you have excellent programming skills and a passion for developing applications or improving existing ones, we would like to meet you. as a system analyst, you’ll work closely with our engineers to ensure system consistency and improve user experience. system analyst roles and responsibilities include: perform design an upgrades of information system to meet the business and client needs. provide documentation of all processes as needed. implement best practices for supportability coordinate and communicate effectively with the internal developer team. pt metrodata electronics, tbk (digital solution provider & technology innovator) would like to invite you to be part of the company to develop yourself and your skills. if you are: bachelor's degree computer science/information technology at least 2 year of working experience as system analyst have deep knowledge in the field of project development life cycle (agile or iterative) have experience in analyzing and designing business processes using data flow diagrams and uml have experience in making fsd, use case, erd, erpnext have deep knowledge in rdbms but not limited to sql server. this position will be located in jakarta. if you meet the requirement we needed, let’s apply for the following open positions. metrodata not just offer for the job, we offer you for brighter career future."
160,IDS Medical Systems Group,Jakarta Barat,"Power BI, Excel",Other,"Job Desc : Responsible for Budget controlling function. Tracking department spending actual vs budget/forecast Analyzing company’s monthly performance, provide feedback for business/operation managers for improvement Provide monthly reports and analysis of results to country management team, division heads, on profitability, costs, turnovers Planning & coordinating support for business strategic Prepare materials for senior management/director meetings Other ad hoc assignments from Financial Controller and Management as necessary Requirements : Knowledge in business analysis and budgeting Experienced in Power BI Advance proficiency in Microsoft Excel and experience with financial systems integration 2 year experience in similar field Strong communication and team-work skill","budgeting analyst jakarta barat power bi, excel communication, management other job desc : responsible for budget controlling function. tracking department spending actual vs budget/forecast analyzing company’s monthly performance, provide feedback for business/operation managers for improvement provide monthly reports and analysis of results to country management team, division heads, on profitability, costs, turnovers planning & coordinating support for business strategic prepare materials for senior management/director meetings other ad hoc assignments from financial controller and management as necessary requirements : knowledge in business analysis and budgeting experienced in power bi advance proficiency in microsoft excel and experience with financial systems integration 2 year experience in similar field strong communication and team-work skill"
